"Country","Year","Data.Health.Birth Rate","Data.Health.Death Rate","Data.Health.Fertility Rate","Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total","Data.Health.Population Growth","Data.Health.Total Population","Data.Infrastructure.Mobile Cellular Subscriptions","Data.Infrastructure.Mobile Cellular Subscriptions per 100 People","Data.Infrastructure.Telephone Lines","Data.Infrastructure.Telephone Lines per 100 People","Data.Rural Development.Agricultural Land","Data.Rural Development.Agricultural Land Percent","Data.Rural Development.Arable Land","Data.Rural Development.Arable Land Percent","Data.Rural Development.Land Area","Data.Rural Development.Rural Population","Data.Rural Development.Rural Population Growth","Data.Rural Development.Surface Area","Data.Urban Development.Population Density","Data.Urban Development.Urban Population Percent","Data.Urban Development.Urban Population Percent Growth"
"Canada","1980","15.4","7.0","1.754","78.59","71.32","74.8663414634146","0.997669360128831","24277000.0","0.0","0.0","9595000.0","39.5623509247736","669030.0","7.35722509789949","1.82782057091074","4.8797439052687","9093510.0","5918004","0.833711883207287","9984670.0","2.66970619705702","75.623","1.05057823382459"
"Canada","1981","15.4","7.1","1.74","78.73","71.6","75.0780487804878","1.29324495269762","24593000.0","0.0","0.0","9979000.0","40.7122402233506","663960.0","7.30147104913284","1.81852559671451","4.91812292503115","9093510.0","5985198","1.12901912876715","9984670.0","2.70445625506543","75.663","1.34612555337482"
"Canada","1982","15.3","7.0","1.7","79.11","72.02","75.4785365853659","1.24059538707161","24900000.0","0.0","0.0","10294500.0","41.5707605456352","658890.0","7.2457170003662","1.81012048192771","4.95650194479359","9093510.0","6047712","1.03905975263073","9984670.0","2.73821659623182","75.712","1.30533307034896"
"Canada","1983","15.1","7.1","1.69","79.23","72.3","75.6804878048781","1.20555529768394","25202000.0","0.0","0.0","10335442.0","41.3206415823718","662760.0","7.28827482457269","1.78977858900087","4.96024087508564","9093510.0","6080235","0.53633278511322","9984670.0","2.7714270947082","75.874","1.41929292397801"
"Canada","1984","15.0","7.0","1.68","79.55","72.69","76.0363414634146","1.00281151479297","25456000.0","0.0","0.0","10468344.0","41.4293462103604","666640.0","7.33094261731719","1.77321653048397","4.96386983683968","9093510.0","6100530","0.333230610394065","9984670.0","2.79935910336053","76.035","1.21478517874826"
"Canada","1985","15.0","7.0","1.65","79.78","73.02","76.3175609756098","0.961733828951842","25702000.0","0.0","0.0","11827271.0","46.30512952141","670510.0","7.37350044152368","1.75756750447436","4.96760876713172","9093510.0","6118361","0.291859754823091","9984670.0","2.82641136370884","76.195","1.17194058792304"
"Canada","1986","14.9","7.0","1.67","79.73","73.04","76.3034146341464","0.929446703353191","25942000.0","12000.0","0.0464333822586404","12480666.0","48.2932946017014","674390.0","7.41616823426818","1.7425796006476","4.97123772888577","9093510.0","6134245","0.259275600606004","9984670.0","2.85280381282915","76.354","1.13790549408036"
"Canada","1987","14.5","7.2","1.675","79.8","73.24","76.44","1.00487939511487","26204000.0","60000.0","0.229211885874027","12948041.0","49.464081599737","678250.0","7.45861608993667","1.72641581437948","4.97486669063981","9093510.0","6157416","0.37702028142286","9984670.0","2.88161556978548","76.502","1.19852374866416"
"Canada","1988","14.4","7.2","1.68","80.12","73.52","76.739512195122","1.31176768183179","26550000.0","98364.0","0.370663165783137","13444317.0","50.6619606869591","678120.0","7.45718649894265","1.7064406779661","4.98223458268589","9093510.0","6233409","1.22661651368043","9984670.0","2.91966468393393","76.522","1.33790777155719"
"Canada","1989","14.5","7.3","1.68","80.2","73.58","76.8092682926829","1.2910648037258","26895000.0","202633.0","0.752880478510268","13975828.0","51.9270211279367","677980.0","7.45564693941063","1.68700501952036","4.98949250619398","9093510.0","6309029","1.20584078299414","9984670.0","2.95760382954437","76.542","1.31719814909973"
"Canada","1990","14.9","7.3","1.77","80.4","73.89","77.0656097560976","1.78359004586196","27379000.0","345178.0","1.26476557695453","14647789.0","53.6709156020756","677820.0","7.45388744280261","1.65959311881369","4.99675042970206","9093510.0","6417090","1.69829619293388","9984670.0","3.01082860193699","76.562","1.80971568763228"
"Canada","1991","15.0","7.3","1.83","80.65","74.26","77.3770731707317","1.49359310901388","27791000.0","583766.0","2.11067478638026","15295819.0","55.3038366405993","677680.0","7.4523478832706","1.63736461444353","5.00400835321015","9093510.0","6508096","1.40821964081274","9984670.0","3.05613563959351","76.582","1.51971400728748"
"Canada","1992","14.9","7.2","1.7","80.77","74.49","77.5534146341464","1.36050617419992","28171682.0","775831.0","2.76988848091968","15814928.0","56.4627952399094","677530.0","7.45069835520058","1.6175817972104","5.01126627671823","9093510.0","6586539","1.19810805490796","9984670.0","3.09799868257691","76.62","1.41011326283435"
