1,1,"Gagarin, Yuri",male,1934,U.S.S.R/Russia,True,TsPK-1,1960,1,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,1.77,0.0,0.0
2,2,"Titov, Gherman",male,1935,U.S.S.R/Russia,True,TsPK-1,1960,1,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25.0,25.3,0.0,0.0
3,1,"Glenn, John H., Jr.",male,1921,U.S.,True,NASA Astronaut Group 1,1959,2,pilot,1962,MA-6,MA-6,MA-6,MA-6,5.0,218.0,0.0,0.0
3,1,"Glenn, John H., Jr.",male,1921,U.S.,True,NASA Astronaut Group 2,1959,2,PSP,1998,STS-95,STS-95,STS-95,STS-95,213.0,218.0,0.0,0.0
4,2,"Carpenter, M. Scott",male,1925,U.S.,True,NASA- 1,1959,1,Pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5.0,5.0,0.0,0.0
5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,True,TsPK-1,1960,2,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94.0,519.33,0.0,0.0
5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,True,TsPK-2,1960,2,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424.0,519.33,0.0,0.0
6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,True,TsPK-1,1960,2,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,448.45,0.0,0.0
6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,True,TsPK-2,1960,2,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377.0,448.45,0.0,0.0
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,True,1959 NASA group 1,1959,3,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,295.2,0.0,0.0
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,True,1960 NASA group 1,1959,3,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,295.2,0.0,0.0
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,True,1961 NASA group 1,1959,3,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,295.2,0.0,0.0
8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,True,NASA- 1,1959,2,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,225.0,0.0,0.0
