Food code,Main food description,WWEIA Category number,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)",Water (g)
27330220,"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,100,8.75,11.91,1.96,1.9,1.92,0.66,0.724,0.23,22,0,26,4,312,1,2499,517,0.117,0.089,2.202,0.172,0,21,21,21,38.6,0.55,0,6.3,0,0.32,0,7.4,14,78,21,1.19,1.61,0.138,8.1,261,285,0,0,0,0,0,0,0.002,0.005,0.047,0.364,0.215,0.055,0.655,0,0,0.177,0.034,0,0.016,0,0,0,75.93
27331150,"Veal fricassee, Puerto Rican style",3002,Meat mixed dishes,169,16.36,7.24,1.28,1.2,8.1,1.666,2.611,3.132,55,0,7,9,79,1,1770,36,0.071,0.169,4.743,0.275,0,14,14,14,65.1,0.48,0,9.9,0,1.28,0,4.9,15,137,24,1.01,1.83,0.125,7.7,373,615,0,0,0,0,0,0,0.002,0.009,0.074,1.112,0.411,0.105,2.478,0.008,0,3.012,0.087,0,0.039,0,0,0,65.38
27332100,"Veal stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,79,6.35,7.07,1.37,1.3,2.77,0.966,1.264,0.169,15,0,68,264,691,0,221,138,0.101,0.098,2.12,0.183,2,8,12,10,29.5,0.45,0,4.8,0.4,0.22,0,5.1,17,81,20,0.62,0.69,0.066,5.1,196,244,0,0,0,0,0,0,0.001,0.002,0.066,0.565,0.3,0.091,1.128,0.004,0,0.149,0.012,0,0.008,0,0,0,82.77
27332110,"Veal stew with potatoes and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,82,6.18,8.53,1.03,1.4,2.59,0.905,1.182,0.157,14,0,5,1,60,0,207,113,0.1,0.092,2.068,0.205,2,9,12,11,28.8,0.42,0,6.6,0.4,0.16,0,4,15,82,21,0.68,0.67,0.075,4.9,226,224,0,0,0,0,0,0,0.002,0.003,0.062,0.529,0.281,0.085,1.055,0.004,0,0.136,0.012,0,0.008,0,0,0,81.64
27335100,Rabbit stew with potatoes and vegetables,3002,Meat mixed dishes,63,6.97,4.44,0.99,0.7,1.81,0.534,0.474,0.367,18,0,50,201,496,0,0,33,0.04,0.075,1.919,0.121,2,8,11,10,28.6,1.35,0,2.4,0,0.15,0,4.3,14,64,10,0.71,0.6,0.079,9.1,162,281,0,0,0,0,0,0,0,0,0.046,0.403,0.082,0.058,0.406,0,0,0.298,0.072,0,0,0,0,0,85.27
27335500,"Stewed rabbit, Puerto Rican style,",3002,Meat mixed dishes,212,17.14,6.83,0.92,1,12.7,2.479,7.156,1.751,46,0,2,0,27,0,1199,13,0.05,0.11,4.067,0.227,0,9,9,9,51.1,2.26,0,6,0,1.57,0,6.8,20,145,21,1.73,1.4,0.149,20.8,342,440,0,0,0,0,0,0,0,0.001,0.118,1.939,0.371,0.251,6.843,0.025,0,1.507,0.249,0,0,0,0,0,60.38
27336100,"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,71,7.52,8.39,1.98,1.6,0.82,0.407,0.162,0.092,19,0,80,304,807,0,1600,185,0.123,0.153,1.943,0.213,0,14,14,14,31,0.52,0,19.2,0,0.3,0,4.3,16,78,18,1.34,1.71,0.111,3.4,282,212,0,0,0,0,0,0,0,0.002,0.025,0.17,0.187,0.013,0.145,0,0,0.066,0.019,0,0.007,0,0,0,82.15
27336150,"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,72,7.79,8.38,1.9,1.6,0.84,0.415,0.166,0.092,20,0,9,2,108,0,1754,241,0.141,0.156,1.974,0.215,0,16,16,16,32,0.53,0,21.1,0,0.26,0,4,15,81,19,1.4,1.77,0.117,3.6,272,225,0,0,0,0,0,0,0,0.002,0.026,0.173,0.191,0.013,0.149,0,0,0.065,0.02,0,0.007,0,0,0,81.87
27336200,"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,126,5.95,11.17,0.94,1.4,6.5,1.19,2.562,2.331,16,0,78,323,762,0,0,157,0.076,0.118,1.682,0.204,0,12,12,12,26.2,0.4,0,6.9,0,0.94,0,16.2,13,63,15,0.92,1.31,0.124,2.6,222,317,0,0,0,0,0,0,0,0.003,0.024,0.765,0.341,0.059,2.473,0.024,0,2.034,0.289,0,0.007,0,0,0,75.15
27336250,"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,127,6.01,12.31,0.9,1.3,6.1,1.136,2.405,2.163,16,0,3,6,24,11,0,108,0.074,0.121,1.761,0.2,0,11,11,11,27.3,0.4,0,3.9,0,0.7,0,10.3,11,66,17,0.92,1.34,0.124,2.6,228,312,0,0,0,0,0,0,0,0.002,0.023,0.727,0.329,0.057,2.319,0.023,0,1.889,0.266,0,0.007,0,0,0,74.39
27336300,"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,129,7.43,13.64,1.61,1.5,5.11,0.985,1.865,1.795,28,3,87,329,844,1,3672,179,0.161,0.174,2.235,0.129,34,13,71,47,33.8,0.44,0,5.6,0,1.17,0,14,16,82,19,1.67,1.54,0.121,13.1,166,311,0,0,0,0,0,0,0,0.001,0.022,0.629,0.29,0.043,1.804,0.014,0,1.579,0.209,0,0.006,0,0,0,72.54
27336310,"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,133,7.47,14.75,1.55,1.4,5.11,0.986,1.88,1.796,28,3,11,6,93,12,3672,128,0.16,0.177,2.308,0.124,34,12,70,46,34.8,0.44,0,2.5,0,0.98,0,8.5,14,85,21,1.67,1.56,0.121,13.1,171,305,0,0,0,0,0,0,0,0.001,0.021,0.63,0.291,0.042,1.819,0.014,0,1.583,0.207,0,0.006,0,0,0,71.43
27341000,"Chicken or turkey, potatoes, corn, and cheese, with gravy",3004,Poultry mixed dishes,124,4.55,13.22,0.95,1.1,6.2,1.527,2.267,1.595,12,24,27,3,23,25,0,143,0.032,0.049,1.637,0.108,0,13,13,13,17.3,0.12,0,0.7,0.3,0.46,0,3.4,36,96,17,0.42,0.49,0.045,5.4,220,359,0,0,0,0.018,0.013,0.009,0.021,0.024,0.082,1.012,0.319,0.164,2.101,0.015,0,1.492,0.101,0,0.003,0.001,0.001,0,74.66
27341010,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3004,Poultry mixed dishes,129,6.16,13.29,1.18,1.8,5.97,0.952,2.451,2.172,20,1,107,439,1034,0,0,213,0.08,0.057,2.212,0.227,0,15,15,15,22.4,0.06,0,9.3,0,0.9,0,18.8,16,75,19,0.45,0.52,0.123,4.6,281,345,0,0,0,0,0,0,0.001,0.002,0.007,0.704,0.202,0.098,2.328,0.022,0,1.903,0.263,0,0.004,0,0,0,73.14
27341020,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3004,Poultry mixed dishes,132,6.21,14.81,1.11,1.7,5.7,0.915,2.353,2.057,20,1,5,8,33,14,0,146,0.078,0.061,2.314,0.221,0,14,14,14,23.7,0.06,0,5.3,0,0.61,0,11,13,78,21,0.45,0.55,0.122,4.5,289,356,0,0,0,0,0,0,0.001,0.002,0.006,0.679,0.194,0.097,2.233,0.021,0,1.806,0.245,0,0.004,0,0,0,71.84
27341025,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3004,Poultry mixed dishes,123,4.72,11.17,0.94,1.4,6.82,1.105,2.798,2.42,16,1,79,323,762,0,0,158,0.065,0.056,1.705,0.174,0,11,11,11,17.4,0.05,0,6.9,0,0.9,0,16,14,60,15,0.36,0.4,0.096,3.5,218,342,0,0,0,0,0,0,0,0.002,0.009,0.815,0.237,0.109,2.659,0.027,0,2.126,0.287,0,0.004,0,0,0,75.99
27341030,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3004,Poultry mixed dishes,126,4.75,12.27,0.89,1.3,6.82,1.106,2.813,2.421,16,1,4,6,24,11,0,107,0.063,0.059,1.776,0.169,0,11,11,11,18.4,0.05,0,3.9,0,0.7,0,10.6,12,63,17,0.36,0.42,0.095,3.4,223,336,0,0,0,0,0,0,0,0.002,0.009,0.816,0.238,0.108,2.674,0.027,0,2.13,0.284,0,0.004,0,0,0,74.9
27341035,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3004,Poultry mixed dishes,125,4.79,11.09,1.29,1.4,7.11,1.194,2.669,2.843,14,6,78,299,705,0,0,146,0.062,0.054,1.6,0.163,0,11,11,11,19,0.09,0,6.4,0.1,0.93,0,19.4,24,65,14,0.36,0.41,0.089,4,220,342,0,0,0,0.005,0.004,0.002,0.006,0.008,0.029,0.826,0.262,0.078,2.563,0.028,0,2.497,0.343,0,0.003,0,0,0,75.69
27341040,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",3004,Poultry mixed dishes,125,4.84,12.15,1.25,1.3,6.74,1.144,2.524,2.689,14,6,9,6,23,10,0,100,0.061,0.057,1.672,0.159,0,10,10,10,20,0.09,0,3.6,0.1,0.7,0,13.9,22,67,16,0.35,0.43,0.089,4,225,338,0,0,0,0.005,0.004,0.002,0.007,0.008,0.028,0.791,0.25,0.076,2.421,0.027,0,2.364,0.322,0,0.003,0,0,0,74.98
27341045,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",3004,Poultry mixed dishes,128,7.54,11.71,0.96,1.4,5.93,2.541,2.034,0.933,26,23,104,338,803,0,0,164,0.073,0.11,1.758,0.187,1,13,14,14,18.6,0.14,0,7.3,0.3,0.4,0,11.5,96,120,20,0.44,0.74,0.1,5.3,255,343,0,0,0,0.104,0.054,0.029,0.063,0.06,0.339,1.349,0.533,0.163,1.864,0.006,0,0.814,0.115,0,0.003,0,0,0,73.2
27341050,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3004,Poultry mixed dishes,132,7.57,12.86,0.9,1.3,5.93,2.542,2.049,0.934,26,23,26,7,32,11,0,112,0.072,0.113,1.832,0.182,1,13,13,13,19.6,0.14,0,4.2,0.3,0.2,0,5.8,94,122,22,0.44,0.76,0.099,5.3,260,337,0,0,0,0.104,0.054,0.029,0.063,0.06,0.339,1.35,0.533,0.162,1.879,0.006,0,0.818,0.112,0,0.003,0,0,0,72.06
27341055,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,123,4.81,11.09,1.78,1.7,7.02,1.06,2.884,2.681,14,1,84,321,823,1,3582,162,0.065,0.059,1.874,0.191,0,13,13,13,18.9,0.05,0,8.6,0,1.33,0,17.5,15,62,18,0.58,0.43,0.12,3.5,282,341,0,0,0,0,0,0,0,0.002,0.005,0.774,0.233,0.082,2.773,0.027,0,2.353,0.325,0,0.003,0,0,0,75.62
27341060,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,127,4.84,12.18,1.72,1.6,7.03,1.061,2.898,2.682,14,1,9,6,91,11,3582,112,0.063,0.061,1.944,0.186,0,12,12,12,19.8,0.05,0,5.6,0,1.14,0,12.1,13,64,20,0.58,0.46,0.119,3.5,287,335,0,0,0,0,0,0,0,0.001,0.005,0.776,0.234,0.081,2.788,0.027,0,2.356,0.322,0,0.003,0,0,0,74.53
27341310,"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3004,Poultry mixed dishes,75,6.08,7.85,1.46,1.2,2.33,0.459,0.945,0.646,21,2,95,382,927,0,0,49,0.055,0.082,2.056,0.148,2,11,14,13,18.3,0.07,0,5,0,0.3,0,5.3,17,73,14,0.5,0.47,0.071,5.7,238,253,0,0,0,0,0,0,0,0.001,0.007,0.355,0.087,0.089,0.847,0.007,0,0.575,0.065,0,0.004,0,0,0,82.6
27341320,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3004,Poultry mixed dishes,80,6.57,8.68,1.53,1.5,2.27,0.448,0.917,0.633,20,2,17,3,191,0,0,354,0.086,0.087,2.098,0.145,2,16,20,19,20.9,0.07,0,5.4,0,0.22,0,7.3,16,78,16,0.68,0.53,0.08,5.7,210,248,0,0,0,0,0,0,0,0.001,0.007,0.347,0.085,0.086,0.823,0.007,0,0.561,0.067,0,0.004,0,0,0,81.37
27341510,"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,80,6.33,9.05,2.35,1.9,2.41,0.469,0.955,0.679,21,2,101,380,1006,0,852,75,0.248,0.1,2.287,0.185,2,13,16,15,20.3,0.07,0,9.2,0,0.51,0,6.2,27,78,17,0.7,0.5,0.086,5.9,305,291,0,0,0,0,0,0,0,0.001,0.007,0.362,0.09,0.089,0.857,0.007,0,0.607,0.066,0,0.004,0,0,0,80.85
27341520,"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce",3004,Poultry mixed dishes,85,6.82,9.83,2.4,2.2,2.34,0.458,0.927,0.665,20,2,26,3,289,0,825,415,0.277,0.105,2.333,0.181,2,20,23,22,22.8,0.07,0,9.9,0,0.42,0,8.2,26,84,19,0.88,0.56,0.094,5.9,275,285,0,0,0,0,0,0,0,0.001,0.007,0.354,0.088,0.086,0.833,0.007,0,0.592,0.068,0,0.004,0,0,0,79.68
27343010,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3004,Poultry mixed dishes,146,7.95,16.59,0.9,1.5,5.46,0.958,2.088,1.775,37,5,112,446,1052,0,0,234,0.195,0.128,2.707,0.097,46,14,92,60,30.2,0.12,0,5.1,0.1,0.8,0,15.7,18,98,20,1.15,0.75,0.084,18.7,113,351,0,0,0,0,0,0,0,0.001,0.009,0.735,0.19,0.12,1.951,0.015,0,1.581,0.188,0,0.004,0,0,0,68.67
27343020,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3004,Poultry mixed dishes,151,8,18.11,0.83,1.4,5.41,0.952,2.083,1.752,37,5,9,9,33,15,0,165,0.193,0.132,2.806,0.091,46,13,91,59,31.5,0.12,0,0.9,0.1,0.53,0,8,16,101,22,1.15,0.78,0.083,18.7,120,352,0,0,0,0,0,0,0,0,0.009,0.732,0.188,0.119,1.948,0.015,0,1.565,0.181,0,0.004,0,0,0,67.19
27343410,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3004,Poultry mixed dishes,129,6.08,13.69,0.75,1.1,5.62,1,2.188,1.786,29,4,83,330,778,0,0,174,0.151,0.109,2.079,0.079,34,11,69,45,23.3,0.09,0,3.8,0,0.72,0,12.8,16,77,15,0.88,0.58,0.067,14,94,335,0,0,0,0,0,0,0,0.001,0.011,0.76,0.202,0.123,2.045,0.018,0,1.59,0.189,0,0.004,0,0,0,73.42
27343420,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3004,Poultry mixed dishes,129,6.13,14.86,0.7,1,5.2,0.944,2.026,1.611,29,4,7,6,25,11,0,123,0.15,0.112,2.16,0.074,34,10,68,44,24.4,0.09,0,0.7,0,0.48,0,6.7,14,80,17,0.88,0.6,0.067,14,100,344,0,0,0,0,0,0,0,0.001,0.011,0.721,0.189,0.121,1.885,0.017,0,1.439,0.165,0,0.004,0,0,0,72.6
27343470,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3004,Poultry mixed dishes,127,6.06,13.46,1.12,1.2,5.62,1.046,1.939,2.106,26,9,82,306,722,0,0,162,0.142,0.103,1.952,0.075,32,10,64,42,24.6,0.13,0,3.5,0.2,0.73,0,16.1,26,81,15,0.83,0.58,0.063,13.7,106,338,0,0,0,0.005,0.004,0.003,0.006,0.007,0.031,0.739,0.218,0.089,1.832,0.019,0,1.868,0.234,0,0.003,0,0,0,73.62
27343480,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3004,Poultry mixed dishes,131,6.09,14.5,1.07,1.1,5.63,1.047,1.952,2.106,26,9,11,6,23,10,0,114,0.14,0.106,2.018,0.071,32,9,63,41,25.5,0.13,0,0.6,0.2,0.54,0,10.9,24,84,17,0.83,0.6,0.062,13.7,111,345,0,0,0,0.005,0.004,0.003,0.006,0.007,0.03,0.74,0.218,0.088,1.846,0.019,0,1.871,0.231,0,0.003,0,0,0,72.56
27343510,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,129,6.16,13.58,1.6,1.5,5.84,0.954,2.279,2.057,28,4,88,328,840,1,3657,178,0.15,0.111,2.248,0.097,34,12,70,46,24.8,0.09,0,5.6,0,1.18,0,14.3,17,79,18,1.1,0.61,0.092,13.9,161,348,0,0,0,0,0,0,0,0.001,0.007,0.719,0.198,0.095,2.165,0.018,0,1.824,0.228,0,0.003,0,0,0,73.03
27343520,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3004,Poultry mixed dishes,133,6.19,14.69,1.55,1.4,5.84,0.955,2.294,2.058,28,4,12,6,93,11,3657,128,0.148,0.114,2.32,0.092,34,12,69,46,25.7,0.09,0,2.5,0,0.98,0,8.8,15,81,20,1.1,0.63,0.091,13.9,166,342,0,0,0,0,0,0,0,0,0.006,0.72,0.199,0.094,2.18,0.018,0,1.828,0.225,0,0.003,0,0,0,71.93
27343910,Chicken or turkey chow mein or chop suey with noodles,3402,Fried rice and lo/chow mein,131,9.91,11.15,1.54,1.5,5.43,1.455,2.12,1.25,33,2,10,16,87,0,0,106,0.101,0.159,3.085,0.128,11,30,49,42,29.7,0.11,0,4.2,0,0.52,0,11.7,19,99,14,1.25,0.68,0.053,10.7,174,408,0,0,0,0,0,0,0,0.471,0.175,0.567,0.157,0.14,1.97,0.007,0,1.137,0.105,0,0.006,0,0,0,72.26
27343950,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",3004,Poultry mixed dishes,145,8.9,14.16,0.74,1.1,5.97,2.617,1.934,0.797,39,26,108,341,810,0,0,179,0.161,0.164,2.122,0.087,36,13,73,48,24.4,0.19,0,4,0.3,0.37,0,9.5,99,137,20,0.97,0.92,0.069,16.1,125,346,0,0,0,0.105,0.054,0.029,0.063,0.059,0.344,1.42,0.54,0.181,1.749,0.002,0,0.715,0.078,0,0.003,0,0,0,69.44
